Provincia;Partido;Localidad;Link Indec;ADSL;CABLEMODEM;DIAL UP;FIBRA OPTICA;OTROS;SATELITAL;WIMAX;WIRELESS;Total general;
BUENOS AIRES;San Pedro;Santa Lucí;6770060; -   ; -   ; -   ; 3 ; -   ; 2 ; -   ; -   ; 5 ;
BUENOS AIRES;San Vicente;Alejandro Korn;6778020; 110 ; 3.510 ; 4 ; 6.150 ; 9 ; -   ; -   ; 332 ; 10.115 ;
BUENOS AIRES;San Vicente;Domselaar;6778020; -   ; 750 ; -   ; -   ; -   ; -   ; -   ; 52 ; 802 ;
BUENOS AIRES;San Vicente;San Vicente;6778020; 1.127 ; 4.134 ; 4 ; 483 ; 5 ; -   ; -   ; 217 ; 5.970 ;
BUENOS AIRES;Suipacha;General Rivas;6784010; 96 ; -   ; -   ; -   ; -   ; -   ; -   ; 123 ; 219 ;
BUENOS AIRES;Suipacha;Suipacha;6784020; 273 ; -   ; 2 ; 3.307 ; -   ; -   ; -   ; 269 ; 3.851 ;
BUENOS AIRES;Tandil;De la Canal;6791010; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 39 ; 44 ;
BUENOS AIRES;Tandil;Gardey;6791030; -   ; -   ; -   ; 257 ; 35 ; -   ; -   ; 20 ; 312 ;
BUENOS AIRES;Tandil;María Ignacia  (Est. Vela;6791040; 268 ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 293 ;
BUENOS AIRES;Tandil;OTROS;Sin Datos; -   ; -   ; -   ; -   ; 45 ; -   ; -   ; -   ; 45 ;
BUENOS AIRES;Tandil;Tandil;6791050; 2.620 ; 39.046 ; 203 ; 2.929 ; 277 ; 3 ; -   ; 896 ; 45.974 ;
BUENOS AIRES;Tandil;Desvío Aguirr;6791050; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; 1 ; 13 ;
BUENOS AIRES;Tapalqu�;Tapalqu�;6798020; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 2 ;
BUENOS AIRES;Tigre;Benavíde;6805010; 858 ; 9.394 ; -   ; 8.931 ; -   ; 5 ; -   ; 1.590 ; 20.778 ;
BUENOS AIRES;Tigre;Dique Lujá;6805010; 40 ; 2.219 ; -   ; 107 ; -   ; -   ; -   ; 85 ; 2.451 ;
BUENOS AIRES;Tigre;Don Torcuato Este;6805010; 1.293 ; 13.472 ; 3 ; 9.823 ; 6 ; -   ; -   ; 23 ; 24.620 ;
BUENOS AIRES;Tigre;El Talar;6805010; 495 ; 7.826 ; -   ; 6.362 ; 2 ; 2 ; -   ; 80 ; 14.767 ;
BUENOS AIRES;Tigre;General Pacheco;6805010; 2.021 ; 11.802 ; 1 ; 3.689 ; 7 ; 2 ; -   ; 2 ; 17.524 ;
BUENOS AIRES;Tigre;Los Troncos Del Talar;6805010; 477 ; 6.860 ; -   ; 2.903 ; -   ; 1 ; -   ; -   ; 10.241 ;
BUENOS AIRES;Tigre;OTROS;Sin Datos; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 2 ;
BUENOS AIRES;Tigre;Ricardo Rojas;6805010; 1.075 ; 3.791 ; -   ; 1.896 ; 6 ; -   ; -   ; -   ; 6.768 ;
BUENOS AIRES;Tigre;Rincón de Milber;6805010; 697 ; 8.932 ; -   ; 1.860 ; -   ; -   ; -   ; 45 ; 11.534 ;
BUENOS AIRES;Tigre;Tigre;6805010; 766 ; 12.467 ; -   ; 4.674 ; 6 ; 6 ; -   ; 176 ; 18.095 ;
BUENOS AIRES;Tigre;Don Torcuato Oeste;6805010; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 186 ; 186 ;
BUENOS AIRES;Tigre;Nordelta;6805010; 930 ; 5.981 ; -   ; 2.512 ; -   ; -   ; -   ; -   ; 9.423 ;
BUENOS AIRES;Tordillo;General Conesa;6812010; 40 ; 227 ; -   ; -   ; -   ; -   ; -   ; 63 ; 330 ;
BUENOS AIRES;Tordillo;Villa Roch;6812010; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; 11 ;
BUENOS AIRES;Tornquist;Saldungaray;6819020; 564 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 564 ;
BUENOS AIRES;Tornquist;Sierra de la Ventana;6819030; -   ; 486 ; -   ; 621 ; -   ; -   ; -   ; -   ; 1.107 ;
BUENOS AIRES;Tornquist;Tornquist;6819040; 131 ; 966 ; -   ; 1.461 ; -   ; 2 ; -   ; -   ; 2.560 ;
BUENOS AIRES;Tornquist;Villa Serrana La Gruta;6819060; -   ; 119 ; -   ; -   ; -   ; -   ; -   ; -   ; 119 ;
BUENOS AIRES;Tornquist;Villa Ventana;6819070; 475 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 475 ;
BUENOS AIRES;Trenque Lauquen;30 de Agosto;6826040; -   ; 184 ; -   ; 1.396 ; 2.376 ; -   ; -   ; -   ; 3.956 ;
BUENOS AIRES;Trenque Lauquen;OTROS;Sin Datos; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; 4 ;
BUENOS AIRES;Trenque Lauquen;Trenque Lauquen;6826050; 2.527 ; 16 ; 68 ; 12.525 ; 68 ; 1 ; -   ; 1.241 ; 16.446 ;
BUENOS AIRES;Trenque Lauquen;Girodias;6826020; 47 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 49 ;
BUENOS AIRES;Trenque Lauquen;La Carreta;6826030; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ;
BUENOS AIRES;Trenque Lauquen;Trong�;6826060; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ;
BUENOS AIRES;Trenque Lauquen;Berutti;6826010; -   ; -   ; -   ; 282 ; -   ; -   ; -   ; -   ; 282 ;
BUENOS AIRES;Tres Arroyos;Claromec�;6833020; 268 ; -   ; -   ; 722 ; -   ; -   ; -   ; 734 ; 1.724 ;
BUENOS AIRES;Tres Arroyos;Copetonas;6833030; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 89 ; 90 ;
BUENOS AIRES;Tres Arroyos;Lin Calel;6833040; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; 11 ;
BUENOS AIRES;Tres Arroyos;Micaela Cascallares  (Est. Cascallares);6833050; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 155 ; 156 ;
BUENOS AIRES;Tres Arroyos;Orense;6833060; -   ; -   ; 1 ; 246 ; 407 ; -   ; -   ; 146 ; 800 ;
BUENOS AIRES;Tres Arroyos;Reta;6833070; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 224 ; 224 ;
BUENOS AIRES;Tres Arroyos;San Francisco de Bellocq;6833080; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; 120 ;
BUENOS AIRES;Tres Arroyos;San Mayol;6833090; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; 11 ; 20 ;
BUENOS AIRES;Tres Arroyos;Tres Arroyos;6833100; 1.352 ; 14.565 ; 61 ; 1.513 ; 61 ; 1 ; -   ; 903 ; 18.456 ;
BUENOS AIRES;Tres De Febrero;11 De Septiembre;6840010; 23 ; 1.195 ; -   ; 5 ; 1 ; 2 ; -   ; -   ; 1.226 ;
BUENOS AIRES;Tres De Febrero;Caseros;6840010; 2.423 ; 23.051 ; 2 ; 8.901 ; 25 ; -   ; -   ; 2 ; 34.404 ;
BUENOS AIRES;Tres De Febrero;Churruca;6840010; 11 ; 878 ; -   ; 1.543 ; -   ; -   ; -   ; -   ; 2.432 ;
BUENOS AIRES;Tres De Febrero;Ciudad Jardín Lomas del Paloma;6840010; 507 ; 5.266 ; -   ; 837 ; 2 ; -   ; -   ; -   ; 6.612 ;
BUENOS AIRES;Tres De Febrero;Ciudadela;6840010; 313 ; 11.586 ; 67 ; 14.166 ; 117 ; 3 ; -   ; 4 ; 26.256 ;
BUENOS AIRES;Tres De Febrero;El Libertador;6840010; 134 ; 2.746 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.880 ;
BUENOS AIRES;Tres De Febrero;Jose Ingenieros;6840010; 115 ; 1.900 ; -   ; 547 ; 3 ; -   ; -   ; 5 ; 2.570 ;
BUENOS AIRES;Tres De Febrero;Loma Hermosa;6840010; 992 ; 5.687 ; -   ; 55 ; 18 ; -   ; -   ; -   ; 6.752 ;
BUENOS AIRES;Tres De Febrero;Martín Coronad;6840010; 188 ; 5.052 ; 1 ; 2.678 ; 6 ; -   ; -   ; -   ; 7.925 ;
BUENOS AIRES;Tres De Febrero;Pablo Podest�;6840010; 1.504 ; 3.407 ; -   ; 7 ; 12 ; -   ; -   ; 438 ; 5.368 ;
BUENOS AIRES;Tres De Febrero;Remedios De Escalada;6840010; 113 ; 2.811 ; -   ; 8.174 ; 16 ; -   ; -   ; -   ; 11.114 ;
BUENOS AIRES;Tres De Febrero;Saenz Peñ;6840010; 229 ; 5.106 ; -   ; 969 ; -   ; 1 ; -   ; 1 ; 6.306 ;
BUENOS AIRES;Tres De Febrero;Santos Lugares;6840010; 326 ; 6.250 ; -   ; 1.328 ; 8 ; -   ; -   ; 1 ; 7.913 ;
BUENOS AIRES;Tres De Febrero;Villa Bosch (Est. Juan Maria Bosch);6840010; 228 ; 7.239 ; -   ; 5.799 ; 3 ; -   ; -   ; -   ; 13.269 ;
BUENOS AIRES;Tres De Febrero;Villa Raffo;6840010; 135 ; 2.025 ; -   ; 656 ; 3 ; -   ; -   ; -   ; 2.819 ;
BUENOS AIRES;Tres Lomas;Tres Lomas;6847020; 93 ; 724 ; 1 ; 136 ; 319 ; -   ; -   ; 94 ; 1.367 ;
BUENOS AIRES;Vicente Lópe;Carapachay;6861010; 861 ; 5.304 ; 1 ; 2.132 ; 2 ; -   ; -   ; -   ; 8.300 ;
BUENOS AIRES;Vicente Lópe;Florida;6861010; 1.575 ; 14.248 ; 2 ; 6.952 ; 6 ; -   ; -   ; 2 ; 22.785 ;
BUENOS AIRES;Vicente Lópe;Florida Oeste;6861010; 2 ; 5.489 ; -   ; 3.278 ; 5 ; 1 ; -   ; 245 ; 9.020 ;
BUENOS AIRES;Vicente Lópe;La Lucila;6861010; 303 ; 4.099 ; 1 ; 1.373 ; 1 ; -   ; -   ; -   ; 5.777 ;
BUENOS AIRES;Vicente Lópe;Munro;6861010; 616 ; 9.214 ; 8 ; 5.756 ; 10 ; 1 ; -   ; 1 ; 15.606 ;
BUENOS AIRES;Vicente Lópe;Olivos;6861010; 1.312 ; 23.636 ; 5 ; 9.944 ; 10 ; 1 ; -   ; -   ; 34.908 ;
BUENOS AIRES;Vicente Lópe;Vicente Lópe;6861010; 288 ; 9.696 ; 3 ; 3.490 ; 17 ; -   ; -   ; 1 ; 13.495 ;
BUENOS AIRES;Vicente Lópe;Villa Adelina;6861010; -   ; 568 ; -   ; 1.135 ; -   ; -   ; -   ; -   ; 1.703 ;
BUENOS AIRES;Vicente Lópe;Villa Martelli;6861010; 904 ; 5.337 ; 1 ; 5.010 ; 3 ; 1 ; -   ; 375 ; 11.631 ;
BUENOS AIRES;Villa Gesell;Villa Gesell;6868020; 5.674 ; -   ; -   ; 5.688 ; 110 ; -   ; -   ; -   ; 11.472 ;
BUENOS AIRES;Villarino;Juan Cousté  (Est. Algarrobo;6875040; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 82 ; 84 ;
BUENOS AIRES;Villarino;Mayor Buratovich;6875050; 134 ; -   ; -   ; 499 ; -   ; -   ; -   ; -   ; 633 ;
BUENOS AIRES;Villarino;Médano;6875060; 417 ; 375 ; 2 ; -   ; -   ; -   ; -   ; 103 ; 897 ;
BUENOS AIRES;Villarino;Pedro Luro;6875070; 393 ; 582 ; -   ; 1.664 ; 1 ; -   ; -   ; 550 ; 3.190 ;
BUENOS AIRES;Villarino;Argerich;6875010; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 31 ; 31 ;
BUENOS AIRES;Villarino;Teniente Origone;6875080; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ;
BUENOS AIRES;Villarino;Country Los Medanos;6875025; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 267 ; 267 ;
BUENOS AIRES;Zárat;Lima;6882040; 1 ; -   ; -   ; 1 ; -   ; 4 ; -   ; -   ; 6 ;
BUENOS AIRES;Zárat;Zárat;6882050; 1.941 ; 25.557 ; -   ; 970 ; 700 ; 5 ; -   ; 1.525 ; 30.698 ;
BUENOS AIRES;AMBA;OTROS;Sin Datos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 13 ; 13 ;
CABA;Ciudad Autónoma de Buenos Aire;Ciudad Autónoma de Buenos Aire;2000010; 138.753 ; 1.238.196 ; 2.145 ; 138.548 ; 29.586 ; 95 ; -   ; 4.603 ; 1.551.926 ;
CATAMARCA;Ambato;El Bolsó;10007030; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ;
CATAMARCA;Ambato;El Rodeo;10007040; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 152 ; 153 ;
CATAMARCA;Ambato;La Puerta;10007060; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 5 ;
CATAMARCA;Ambato;Las Chacritas;10007070; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Ambato;Los Varela;10007110; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Ambato;Los Talas;10007100; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ; 66 ;
CATAMARCA;Ancasti;Ancasti;10014010; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Andalgal�;Andalgal�;10021020; 821 ; -   ; -   ; 144 ; 1 ; 2 ; -   ; 203 ; 1.171 ;
CATAMARCA;Andalgal�;Chaquiago;10021030; -   ; -   ; -   ; 9 ; -   ; 1 ; -   ; 14 ; 24 ;
CATAMARCA;Andalgal�;El Potrero;10021070; -   ; -   ; -   ; 13 ; -   ; -   ; -   ; -   ; 13 ;
CATAMARCA;Andalgal�;Aconquija;10021010; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Andalgal�;El Alamito;10021050; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 20 ;
CATAMARCA;Andalgal�;La Aguada;10021080; -   ; -   ; -   ; 11 ; -   ; -   ; -   ; 5 ; 16 ;
CATAMARCA;Andalgal�;La Mesada;10021010; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ;
CATAMARCA;Antofagasta de la Sierra;Antofagasta de la Sierra;10028010; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ;
CATAMARCA;Belé;Belé;10035020; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 30 ; 36 ;
CATAMARCA;Belé;Hualfí;10035070; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Belé;Londres;10035110; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 20 ; 21 ;
CATAMARCA;Belé;El Durazno;10035050; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ;
CATAMARCA;Belé;Las Juntas;10035100; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ;
CATAMARCA;Capayá;Capayá;10042030; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Capayá;Chumbicha;10042040; 136 ; -   ; -   ; 5 ; -   ; 1 ; -   ; 474 ; 616 ;
CATAMARCA;Capayá;Colonia del Valle;10042050; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Capayá;Colonia Nueva Coneta;10042060; -   ; -   ; -   ; 10 ; -   ; 1 ; -   ; 9 ; 20 ;
CATAMARCA;Capayá;Coneta;10042080; -   ; -   ; -   ; 10 ; -   ; 1 ; -   ; -   ; 11 ;
CATAMARCA;Capayá;Huillapima;10042100; -   ; -   ; -   ; 5 ; -   ; 2 ; -   ; 9 ; 16 ;
CATAMARCA;Capayá;Miraflores;10042120; -   ; -   ; -   ; 7 ; -   ; 2 ; -   ; 10 ; 19 ;
CATAMARCA;Capayá;San Martí;10042130; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; -   ; 7 ;
CATAMARCA;Capayá;Los Angeles;10042110; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ;
CATAMARCA;Capital;El Pantanillo;10049020; 5 ; 21 ; -   ; 2 ; -   ; 2 ; -   ; -   ; 30 ;
CATAMARCA;Capital;San Fernando del Valle de Catamarca;10049030; 7.262 ; 10.964 ; 1 ; 39.895 ; -   ; 1 ; -   ; 14 ; 58.137 ;
CATAMARCA;El Alto;El Alto;10056010; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 28 ; 29 ;
CATAMARCA;El Alto;Tapso;10056050; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;La Paz;Icañ;10070070; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;La Paz;Recreo;10070140; 171 ; 13 ; -   ; 1.561 ; -   ; 1 ; -   ; 5 ; 1.751 ;
CATAMARCA;La Paz;San Antonio;10070150; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; 26 ;
CATAMARCA;La Paz;Quiró;10070120; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 27 ; 27 ;
CATAMARCA;Paclí;La Merced;10077050; 71 ; -   ; -   ; -   ; -   ; 4 ; -   ; 5 ; 80 ;
CATAMARCA;Paclí;La Viñ;10077060; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ;
CATAMARCA;Paclí;Las Lajas;10077070; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Paclí;San Antonio;10077100; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 7 ; 8 ;
CATAMARCA;Pomá;Mutquin;10084060; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Pomá;Pomá;10084070; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ;
CATAMARCA;Pomá;San Miguel;10084090; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; 7 ;
CATAMARCA;Pomá;Saujil;10084100; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 169 ; 170 ;
CATAMARCA;Pomá;Sijá;10084110; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Pomá;Colpes;10084030; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ;
CATAMARCA;Santa Marí;La Loma;10091100; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Santa Marí;San Jos�;10091140; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Santa Marí;Santa Marí;10091150; -   ; -   ; -   ; -   ; 2.151 ; 1 ; -   ; -   ; 2.152 ;
CATAMARCA;Santa Rosa;Alijilá;10098010; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ;
CATAMARCA;Santa Rosa;Bañado de Ovant;10098020; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Santa Rosa;Lavalle;10098040; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Santa Rosa;Los Altos;10098050; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 6 ; 7 ;
CATAMARCA;Tinogasta;Fiambal�;10105110; -   ; -   ; -   ; 8 ; -   ; 3 ; -   ; 7 ; 18 ;
CATAMARCA;Tinogasta;Tinogasta;10105180; 486 ; -   ; -   ; 1.828 ; -   ; 2 ; -   ; -   ; 2.316 ;
CATAMARCA;Valle Viejo;El Portezuelo;10112010; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ;
CATAMARCA;Valle Viejo;San Isidro;10112040; -   ; -   ; -   ; 2.697 ; -   ; -   ; -   ; 5 ; 2.702 ;
CATAMARCA;Valle Viejo;Santa Rosa;10112030; -   ; -   ; -   ; 759 ; -   ; -   ; -   ; 5 ; 764 ;
CATAMARCA;Valle Viejo;Villa Dolores;10112030; -   ; -   ; -   ; 103 ; -   ; -   ; -   ; 5 ; 108 ;
CATAMARCA;Valle Viejo;Sumalao;10112030; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 5 ; 6 ;
CATAMARCA;Valle Viejo;Polcos;10112030; -   ; -   ; -   ; 213 ; -   ; -   ; -   ; -   ; 213 ;
CATAMARCA;Valle Viejo;Pozo Del Mistol;10112030; -   ; -   ; -   ; 18 ; -   ; -   ; -   ; -   ; 18 ;
CATAMARCA;Valle Viejo;El Bañad;10112030; -   ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; 7 ;
CATAMARCA;Fray Mamerto Esqui�;San Antonio;10063050; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; 4 ;
CATAMARCA;Fray Mamerto Esqui�;Villa Las Pirquitas;10063050; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Fray Mamerto Esqui�;La Carrera;10063050; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CATAMARCA;Fray Mamerto Esqui�;El Hueco;10063050; -   ; -   ; -   ; 26 ; -   ; -   ; -   ; -   ; 26 ;
CATAMARCA;Fray Mamerto Esqui�;La Falda De San Antonio;10063050; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ;
CATAMARCA;Fray Mamerto Esqui�;La Tercena;10063050; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ;
CHACO;12 de Octubre;Gancedo;22036010; -   ; -   ; -   ; 26 ; -   ; 2 ; -   ; 103 ; 131 ;
CHACO;12 de Octubre;General Pinedo;22036030; 182 ; -   ; -   ; 538 ; -   ; 2 ; -   ; 1 ; 723 ;
CHACO;1º de May;Colonia Beníte;22126020; 136 ; -   ; -   ; 11 ; -   ; 1 ; -   ; 2 ; 150 ;
CHACO;1º de May;Margarita Belé;22126030; 337 ; -   ; -   ; -   ; -   ; -   ; -   ; 261 ; 598 ;
CHACO;2 de Abril;Hermoso Campo;22039010; -   ; 28 ; -   ; 203 ; -   ; 1 ; -   ; -   ; 232 ;
CHACO;2 de Abril;Ití;22039020; -   ; -   ; -   ; 38 ; 478 ; -   ; -   ; -   ; 516 ;
CHACO;25 de Mayo;Colonia Aborigen;22168010; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 46 ;
CHACO;25 de Mayo;Machagai;22168020; 334 ; 358 ; -   ; 45 ; -   ; -   ; -   ; 269 ; 1.006 ;
CHACO;9 de Julio;Las Breña;22105010; 1.226 ; -   ; -   ; 74 ; -   ; 1 ; -   ; -   ; 1.301 ;
CHACO;Almirante Brown;Concepción del Bermej;22007010; -   ; -   ; -   ; 373 ; -   ; 2 ; -   ; 230 ; 605 ;
CHACO;Almirante Brown;Los Frentones;22007020; -   ; -   ; -   ; 344 ; -   ; 1 ; -   ; -   ; 345 ;
CHACO;Almirante Brown;Pampa del Infierno;22007030; -   ; -   ; -   ; 1.375 ; -   ; 5 ; -   ; 65 ; 1.445 ;
CHACO;Almirante Brown;Taco Pozo;22007050; -   ; -   ; -   ; 416 ; -   ; 4 ; -   ; -   ; 420 ;
CHACO;Bermejo;General Vedia;22014010; 141 ; -   ; -   ; 30 ; -   ; 1 ; -   ; 155 ; 327 ;
CHACO;Bermejo;Isla del Cerrito;22014020; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CHACO;Bermejo;La Leonesa;22014030; 518 ; -   ; -   ; -   ; -   ; -   ; -   ; 228 ; 746 ;
CHACO;Bermejo;Las Palmas;22014040; -   ; -   ; -   ; 46 ; -   ; 1 ; -   ; 296 ; 343 ;
CHACO;Bermejo;Puerto Bermejo Nuevo;22014050; -   ; -   ; -   ; 14 ; -   ; -   ; -   ; 78 ; 92 ;
CHACO;Bermejo;Puerto Eva Peró;22014070; -   ; -   ; -   ; 15 ; -   ; 1 ; -   ; 41 ; 57 ;
CHACO;Chacabuco;Charata;22028010; 1.812 ; -   ; -   ; 1.277 ; -   ; 2 ; -   ; 230 ; 3.321 ;
CHACO;Comandante Fernánde;Presidencia Roque Sáenz Pe�;22021010; 3.176 ; 129 ; -   ; 6.501 ; 24 ; 2 ; -   ; 116 ; 9.948 ;
CHACO;Fray Justo Santa María De Or;Chorotis;22043010; -   ; -   ; -   ; -   ; 25 ; -   ; -   ; -   ; 25 ;
CHACO;Fray Justo Santa María De Or;OTROS;Sin Datos; -   ; -   ; -   ; -   ; 60 ; -   ; -   ; -   ; 60 ;
CHACO;Fray Justo Santa María De Or;Santa Sylvina;22043020; -   ; 32 ; -   ; -   ; 950 ; 1 ; -   ; -   ; 983 ;
CHACO;General Belgrano;Corzuela;22049010; 156 ; -   ; -   ; 48 ; -   ; 1 ; -   ; 28 ; 233 ;
CHACO;General Donovan;La Escondida;22056010; 50 ; 272 ; -   ; 189 ; -   ; 2 ; -   ; -   ; 513 ;
CHACO;General Donovan;La Verde;22056020; 14 ; -   ; -   ; 39 ; 460 ; 2 ; -   ; -   ; 515 ;
CHACO;General Donovan;Lapachito;22056030; 1 ; -   ; -   ; 61 ; -   ; -   ; -   ; -   ; 62 ;
CHACO;General Donovan;Makall�;22056040; 35 ; 427 ; -   ; -   ; 12 ; 1 ; -   ; -   ; 475 ;
CHACO;General Güeme;El Espinillo;22063010; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CHACO;General Güeme;El Sauzal;22063020; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 62 ; 64 ;
CHACO;General Güeme;El Sauzalito;22063030; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ;
CHACO;General Güeme;Fortín Lavall;22063040; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; 36 ;
CHACO;General Güeme;Fuerte Esperanza;22063050; -   ; -   ; -   ; 8 ; -   ; 2 ; -   ; -   ; 10 ;
CHACO;General Güeme;Juan José Castell;22063060; 542 ; -   ; -   ; 294 ; -   ; -   ; -   ; 690 ; 1.526 ;
CHACO;General Güeme;Miraflores;22063070; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 630 ; 630 ;
CHACO;General Güeme;Nueva Pompeya;22063080; -   ; -   ; -   ; 1 ; -   ; 3 ; -   ; 308 ; 312 ;
CHACO;General Güeme;Villa Río Bermejit;22063100; 4 ; -   ; -   ; 194 ; -   ; 2 ; -   ; 222 ; 422 ;
CHACO;General Güeme;Wichi;22063110; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 91 ; 93 ;
CHACO;Independencia;Avia Terai;22070010; 80 ; -   ; -   ; 42 ; -   ; 1 ; -   ; 1 ; 124 ;
CHACO;Independencia;Campo Largo;22070020; 120 ; -   ; -   ; 482 ; 3 ; -   ; -   ; -   ; 605 ;
CHACO;Libertad;Laguna Blanca;22077030; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 6 ; 8 ;
CHACO;Libertad;Puerto Tirol;22077040; 500 ; 1 ; -   ; 375 ; -   ; -   ; -   ; 73 ; 949 ;
CHACO;Libertad;Colonia Popular;22077010; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ;
CHACO;Libertador General San Martí;Ciervo Petiso;22084010; -   ; -   ; -   ; -   ; 46 ; 1 ; -   ; -   ; 47 ;
CHACO;Libertador General San Martí;General José de San Mart�;22084020; 465 ; 1.053 ; -   ; 5.092 ; -   ; -   ; -   ; 450 ; 7.060 ;
